bad	5.13375	3.9525	5.26
bag	5.255625	3.4531249999999996	5.230625
ball	4.84125	4.583125	5.006874999999999
chairman	5.12	3.51125	5.10375
contemplation	6.42375	4.136875	6.139375
delightful	7.363125	4.796875	6.216249999999999
disgusting	3.9206250000000007	4.935624999999999	4.581875
donkey	5.436875000000001	4.35625	5.27
evil	4.5268749999999995	4.60125	4.928750000000001
excellent	5.950000000000001	3.8687500000000004	5.8725000000000005
face	5.528749999999999	3.751874999999999	5.733125000000001
fiction	5.75375	4.093125	5.454999999999999
fortunate	5.92375	4.0718749999999995	5.805625
gas	5.031875	4.246875000000001	4.97875
good	6.11875	3.7474999999999996	5.908125
happy	6.161250000000001	4.2387500000000005	5.669999999999999
hate	4.088125	4.642500000000001	5.016250000000001
horrible	3.155625	5.139375	4.0075
lane	5.119375	3.8187500000000005	5.08375
love	5.798125000000001	4.648750000000001	5.285
lovely	6.6431249999999995	4.2625	5.838749999999999
multitude	5.001875	4.37	5.2268750000000015
ounce	5.293124999999999	4.0275	5.406874999999999
part	5.915000000000001	3.5475000000000003	5.964375
perfect	6.005625	3.9	5.951875000000001
pin	5.397500000000001	4.104375000000001	5.4987499999999985
pleasant	6.7025	4.518125	6.03125
poor	5.9612500000000015	3.9568749999999993	5.518125
quilt	5.213125	3.9756249999999995	5.38625
relationship	5.919375	4.009375	6.1000000000000005
risk	5.507499999999999	4.52375	5.2225
savage	4.35875	4.8675	4.73125
stroke	4.5062500000000005	4.42	4.9075
tree	5.47375	3.4875000000000003	5.2775
twist	5.0275	4.2825	4.96
unfortunate	4.24	4.25875	4.70125
unhappy	5.1031249999999995	4.185625	5.16375
unpleasant	4.19875	4.52625	4.215
word	5.84875	3.7725000000000004	5.928750000000001
