bad	4.355966	4.0634823	4.8112497
bag	5.8786697	3.3793447	5.5724497
ball	5.692798	4.010438	5.532208
chairman	5.5114245	3.499462	5.4371037
contemplation	6.6725354	4.0804596	6.045571
delightful	7.764822	4.4553766	6.541308
disgusting	3.4209795	4.6091433	4.1728897
donkey	5.759753	4.4597764	5.4329343
evil	4.4012933	4.4429035	4.5722528
excellent	7.1112585	4.2194076	6.6987476
face	5.22242	3.9361863	5.3437524
fiction	5.765232	4.6687036	5.3672905
fortunate	5.720748	5.172814	5.373386
gas	5.2063856	4.626103	5.0384617
good	5.9912534	4.1534863	5.868479
happy	6.679768	4.389323	6.1733475
hate	4.30309	4.967822	5.202696
horrible	3.0220509	5.20441	3.5131378
lane	5.162798	3.6131756	4.848323
love	6.1343775	4.449971	5.930221
lovely	7.128063	4.6993937	6.257514
multitude	5.064002	4.636004	4.9054937
ounce	5.613639	4.4472713	5.124206
part	5.6183195	4.0006876	5.5911
perfect	6.3709545	3.8525875	6.120134
pin	4.875703	3.4155319	5.226115
pleasant	6.700568	3.717163	6.1750784
poor	4.9582243	4.0540037	4.9007626
quilt	5.8546305	3.1291604	5.970012
relationship	5.7826405	4.0382237	5.1228895
risk	5.131228	5.4401984	5.255652
savage	4.932783	4.911742	4.890702
stroke	5.004196	4.8330016	4.8413587
tree	6.0527854	3.665596	5.561791
twist	4.5539494	4.1911387	5.4431157
unfortunate	3.790286	5.152624	4.2420945
unhappy	3.8612995	5.104068	4.328268
unpleasant	4.350408	4.4118333	4.5957956
word	5.3458195	3.8605704	5.401086
