bad	2.9523401	4.611628	4.146893
bag	5.96224	3.4274182	5.7681026
ball	5.771139	4.6162133	5.6547723
chairman	5.2320833	3.6923933	5.654826
contemplation	6.667871	4.275733	5.97303
delightful	7.8215265	4.0743227	6.5618525
disgusting	3.7108624	4.389739	4.351343
donkey	5.612645	4.042891	5.4034133
evil	3.2703714	4.8097186	3.9846597
excellent	5.845971	3.8494728	5.78249
face	4.9898567	4.005938	5.373973
fiction	5.850581	4.3471713	5.2093897
fortunate	5.9603596	4.7460723	5.576869
gas	5.5128922	3.7555666	5.2984095
good	5.8524513	3.5830526	6.0457206
happy	7.386009	4.2062545	6.9307942
hate	3.2400644	5.047056	4.693768
horrible	3.0449564	5.3171144	3.8752015
lane	4.513211	4.0185204	4.794401
love	6.8679476	4.4870577	6.107524
lovely	7.3751974	3.9884558	6.085369
multitude	5.0554733	4.617939	4.826944
ounce	5.0946703	3.807733	4.96974
part	5.387686	3.9421787	5.4988813
perfect	7.2319407	3.69799	6.6236954
pin	4.9188924	3.6302361	5.2993097
pleasant	6.6705	3.620122	6.180915
poor	3.9012825	4.9118466	4.4180603
quilt	5.2836385	3.7221878	5.3564453
relationship	5.461014	3.9298027	5.5680423
risk	4.7660193	4.997939	4.7178383
savage	4.0259886	5.1038413	4.8943467
stroke	4.049517	4.624341	4.7704077
tree	6.944436	3.719852	5.919836
twist	5.0740805	3.8018167	5.5394173
unfortunate	3.6936755	4.7179823	4.1630406
unhappy	3.5728467	5.018806	4.1696377
unpleasant	4.3298883	4.609659	4.747988
word	5.4048595	4.0149007	5.613336
